0.075 0.075 0.1025
0.075 0.225 0.155
0.075 0.375 0.2075
0.075 0.525 0.244813
0.075 0.675 0.273688
0.075 0.825 0.302562
0.075 0.975 0.303937
0.075 1.125 0.297812
0.075 1.275 0.291687
0.075 1.425 0.257044
0.075 1.575 0.220206
0.075 1.725 0.182425
0.075 1.875 0.132375
0.075 2.025 0.082325
0.075 2.175 0.0403938
0.075 2.325 0.0282313
0.075 2.475 0.0160687
0.075 2.625 0.00721875
0.075 2.775 0.00433125
0.075 2.925 0.00144375

0.225 0.075 0.155
0.225 0.225 0.2075
0.225 0.375 0.26
0.225 0.525 0.289438
0.225 0.675 0.306063
0.225 0.825 0.322688
0.225 0.975 0.311812
0.225 1.125 0.293438
0.225 1.275 0.275062
0.225 1.425 0.236131
0.225 1.575 0.195619
0.225 1.725 0.154775
0.225 1.875 0.109625
0.225 2.025 0.064475
0.225 2.175 0.0271813
0.225 2.325 0.0186938
0.225 2.475 0.0102062
0.225 2.625 0.00415625
0.225 2.775 0.00249375
0.225 2.925 0.00083125

0.375 0.075 0.2075
0.375 0.225 0.26
0.375 0.375 0.3125
0.375 0.525 0.334062
0.375 0.675 0.338437
0.375 0.825 0.342812
0.375 0.975 0.319688
0.375 1.125 0.289062
0.375 1.275 0.258437
0.375 1.425 0.215219
0.375 1.575 0.171031
0.375 1.725 0.127125
0.375 1.875 0.086875
0.375 2.025 0.046625
0.375 2.175 0.0139688
0.375 2.325 0.00915625
0.375 2.475 0.00434375
0.375 2.625 0.00109375
0.375 2.775 0.00065625
0.375 2.925 0.00021875

0.525 0.075 0.244813
0.525 0.225 0.289438
0.525 0.375 0.334062
0.525 0.525 0.347469
0.525 0.675 0.343531
0.525 0.825 0.339594
0.525 0.975 0.3063
0.525 1.125 0.265
0.525 1.275 0.2237
0.525 1.425 0.179962
0.525 1.575 0.136037
0.525 1.725 0.0930625
0.525 1.875 0.0624375
0.525 2.025 0.0318125
0.525 2.175 0.00716875
0.525 2.325 0.00445625
0.525 2.475 0.00174375
0.525 2.625 0
0.525 2.775 0
0.525 2.925 0

0.675 0.075 0.273688
0.675 0.225 0.306063
0.675 0.375 0.338438
0.675 0.525 0.343531
0.675 0.675 0.333469
0.675 0.825 0.323406
0.675 0.975 0.2811
0.675 1.125 0.23
0.675 1.275 0.1789
0.675 1.425 0.136737
0.675 1.575 0.0952625
0.675 1.725 0.0554375
0.675 1.875 0.0370625
0.675 2.025 0.0186875
0.675 2.175 0.00393125
0.675 2.325 0.00244375
0.675 2.475 0.00095625
0.675 2.625 0
0.675 2.775 0
0.675 2.925 0

0.825 0.075 0.302562
0.825 0.225 0.322688
0.825 0.375 0.342812
0.825 0.525 0.339594
0.825 0.675 0.323406
0.825 0.825 0.307219
0.825 0.975 0.2559
0.825 1.125 0.195
0.825 1.275 0.1341
0.825 1.425 0.0935125
0.825 1.575 0.0544875
0.825 1.725 0.0178125
0.825 1.875 0.0116875
0.825 2.025 0.0055625
0.825 2.175 0.00069375
0.825 2.325 0.00043125
0.825 2.475 0.00016875
0.825 2.625 0
0.825 2.775 0
0.825 2.925 0

0.975 0.075 0.303937
0.975 0.225 0.311812
0.975 0.375 0.319687
0.975 0.525 0.3063
0.975 0.675 0.2811
0.975 0.825 0.2559
0.975 0.975 0.206294
0.975 1.125 0.150031
0.975 1.275 0.0937687
0.975 1.425 0.0629375
0.975 1.575 0.0340625
0.975 1.725 0.00706875
0.975 1.875 0.00453125
0.975 2.025 0.00199375
0.975 2.175 0
0.975 2.325 0
0.975 2.475 0
0.975 2.625 0
0.975 2.775 0
0.975 2.925 0

1.125 0.075 0.297812
1.125 0.225 0.293438
1.125 0.375 0.289062
1.125 0.525 0.265
1.125 0.675 0.23
1.125 0.825 0.195
1.125 0.975 0.150031
1.125 1.125 0.102344
1.125 1.275 0.0546562
1.125 1.425 0.0358125
1.125 1.575 0.0191875
1.125 1.725 0.00365625
1.125 1.875 0.00234375
1.125 2.025 0.00103125
1.125 2.175 0
1.125 2.325 0
1.125 2.475 0
1.125 2.625 0
1.125 2.775 0
1.125 2.925 0

1.275 0.075 0.291687
1.275 0.225 0.275062
1.275 0.375 0.258437
1.275 0.525 0.2237
1.275 0.675 0.1789
1.275 0.825 0.1341
1.275 0.975 0.0937687
1.275 1.125 0.0546562
1.275 1.275 0.0155437
1.275 1.425 0.0086875
1.275 1.575 0.0043125
1.275 1.725 0.00024375
1.275 1.875 0.00015625
1.275 2.025 6.875e-05
1.275 2.175 0
1.275 2.325 0
1.275 2.475 0
1.275 2.625 0
1.275 2.775 0
1.275 2.925 0

1.425 0.075 0.257044
1.425 0.225 0.236131
